Subject,Network,Vertices,Test_mean,Retest_mean
204521,Somatomotor,12411,220.88334674019154,304.94291206417034
204521,DorsalAttention,6555,275.32039056676035,311.32016234699773
204521,VentralAttention,7337,308.3687714286472,365.5556711085375
204521,Limbic,4196,301.30201941620425,331.739063526712
204521,Frontoparietal,7556,318.14051107100676,360.5408399106334
204521,DefaultMode,12075,325.35785290039365,360.63272154012225
250427,Visual,8401,363.4161992263204,378.97698491653534
250427,Somatomotor,12411,285.0516146680675,301.3333888494578
250427,DorsalAttention,6555,267.6387215946759,263.73124833328865
250427,VentralAttention,7337,364.6656716731356,352.5394219830947
250427,Limbic,4196,348.11420973202655,378.27677345776254
250427,Frontoparietal,7556,338.85928440346424,312.92979125007236
250427,DefaultMode,12075,362.0302256006717,352.9791829255139
287248,Visual,8401,318.82826169066993,303.4872984730081
287248,Somatomotor,12411,298.4030805376763,261.20335961602274
287248,DorsalAttention,6555,243.77837342607708,213.42386469953757
287248,VentralAttention,7337,351.1347664880772,311.1707079345237
287248,Limbic,4196,379.1728564926005,334.32183783707694
287248,Frontoparietal,7556,331.08182227365427,283.7741551931855
287248,DefaultMode,12075,332.35106234792295,299.71781272423556
433839,Visual,8401,290.364039134071,251.51951254758256
433839,Somatomotor,12411,244.84228526936002,189.8542743326626
433839,DorsalAttention,6555,245.31753428420612,203.71187693859946
433839,VentralAttention,7337,311.20984738981497,289.911224381872
433839,Limbic,4196,335.90044440186244,313.0022483217807
433839,Frontoparietal,7556,290.2024970743756,286.83226721800463
433839,DefaultMode,12075,307.03980476215696,294.01082483327167
562345,Visual,8401,412.19529484005403,396.90725739259443
562345,Somatomotor,12411,351.5151963523254,331.2241151493261
562345,DorsalAttention,6555,313.30087375015273,298.58087080337907
562345,VentralAttention,7337,441.4678893664463,400.5981441641822
562345,Limbic,4196,421.1199970974749,407.4982653731408
562345,Frontoparietal,7556,418.53551948430237,382.6236751853252
562345,DefaultMode,12075,412.0347776935103,388.1261161147615
599671,Visual,8401,383.2957125149402,407.79202370223027
599671,Somatomotor,12411,341.45118152500686,354.5889791787252
599671,DorsalAttention,6555,295.788118103167,309.30163643354683
599671,VentralAttention,7337,403.8259930433232,431.5650278793071
599671,Limbic,4196,406.39301294038563,419.64056388822144
599671,Frontoparietal,7556,352.4702028740328,374.14164245423694
599671,DefaultMode,12075,372.51561544951215,381.6886409986071
601127,Visual,8401,329.6943389474778,340.2891319520133
601127,Somatomotor,12411,278.60043484339946,284.7525494810404
601127,DorsalAttention,6555,250.7608021914368,236.95345479352704
601127,VentralAttention,7337,358.7685548788328,347.91860707878203
601127,Limbic,4196,357.584990416704,344.11889701610403
601127,Frontoparietal,7556,329.24534166997785,321.46249326633983
601127,DefaultMode,12075,336.21599303850246,321.7229570126567
660951,Visual,8401,315.1883994185234,283.4807751427065
660951,Somatomotor,12411,284.6571656638135,280.15128464975805
660951,DorsalAttention,6555,252.4979455567803,238.80848552084078
660951,VentralAttention,7337,333.33830631937724,321.87391496949226
660951,Limbic,4196,329.75385522922244,294.68239412862545
660951,Frontoparietal,7556,330.5961014539114,303.81160430443737
660951,DefaultMode,12075,317.34794109021374,293.8911057573892
662551,Visual,8401,325.48624519008376,325.98886087599254
662551,Somatomotor,12411,266.0212021187535,309.08482053844466
662551,DorsalAttention,6555,203.86933825367012,246.12636064286454
662551,VentralAttention,7337,334.9415341705202,351.58029713863993
662551,Limbic,4196,372.3487011771417,348.8634838965277
662551,Frontoparietal,7556,286.17487750601174,312.03259758270246
662551,DefaultMode,12075,291.63156151957287,318.22889487272624
783462,Visual,8401,340.0223477781387,322.4898290092282
783462,Somatomotor,12411,261.7377973019707,264.38514229861534
783462,DorsalAttention,6555,250.999908678918,250.85561848924172
783462,VentralAttention,7337,361.33922960817677,369.5120780958342
783462,Limbic,4196,363.62635240807515,378.18236799096684
783462,Frontoparietal,7556,317.8871810054716,322.4724868736045
783462,DefaultMode,12075,323.4862417543886,342.83686146365704
859671,Visual,8401,326.32941822641845,313.86471927780406
859671,Somatomotor,12411,255.31444903890014,251.5542739771037
859671,DorsalAttention,6555,268.7742852124433,254.32801972948621
859671,VentralAttention,7337,297.3174937148014,295.0706790062555
859671,Limbic,4196,309.4014439100836,309.35415969497853
859671,Frontoparietal,7556,300.580004299804,281.55247957039006
859671,DefaultMode,12075,314.06065170520736,291.69231054184354
861456,Visual,8401,381.6532777364645,359.2372277578475
861456,Somatomotor,12411,286.64180506527276,255.42467280181867
861456,DorsalAttention,6555,273.83451427515,230.24919522865233
861456,VentralAttention,7337,345.58247423945386,320.797420782989
861456,Limbic,4196,355.7751176893868,376.60864097808917
861456,Frontoparietal,7556,326.2274283226715,308.2906327527815
861456,DefaultMode,12075,328.30028639767727,319.72342372462003
877168,Visual,8401,361.0142076817201,289.73956546390673
877168,Somatomotor,12411,303.44247720773865,260.60090798757665
877168,DorsalAttention,6555,264.596913106677,259.2822526510463
877168,VentralAttention,7337,350.65702605614695,349.2650555614166
877168,Limbic,4196,352.7889797606258,342.61892641802433
877168,Frontoparietal,7556,316.9684748893854,341.30353195220727
877168,DefaultMode,12075,340.06032681735655,355.9622406775497
917255,Visual,8401,288.0742123484285,300.4988663733225
917255,Somatomotor,12411,247.0800563697609,253.04469739707852
917255,DorsalAttention,6555,222.58383531195017,241.17780435961996
917255,VentralAttention,7337,330.2618930344038,340.9816884964611
917255,Limbic,4196,316.39428169543925,323.3595581127836
917255,Frontoparietal,7556,276.98888240144,292.282105899728
917255,DefaultMode,12075,293.02236887639225,302.244393446085
